Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,PE Ratio,Beta,EPS,Forward PE,Revenue,Gross Profit,Operating Income,Net Income,Debt to Equity,Return on Equity (ROE),Current Ratio,Dividends Paid,Dividend Yield,Quarterly Revenue Growth,Analyst Recommendation,Target Price,Free Cash Flow,Operating Margin,Profit Margin,Cash Ratio,Quick Ratio,Price to Book Ratio,Enterprise Value,Total Debt,Total Assets,Total Equity,Beta (5Y),Annual Dividend Rate,Trailing Twelve Months (TTM) Revenue,Trailing Twelve Months (TTM) EBITDA,Trailing Twelve Months (TTM) Earnings
Apple,AAPL,2005-01-26,1.2975000143051147,1.2991069555282593,1.2717859745025635,1.2901790142059326,1.089524507522583,739496800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-27,1.2885710000991821,1.3021429777145386,1.2776789665222168,1.2971429824829102,1.0954052209854126,496227200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-28,1.2967859506607056,1.3210710287094116,1.2935709953308105,1.3210710287094116,1.115612268447876,801612000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-31,1.331786036491394,1.3908929824829102,1.3305360078811646,1.3732140064239502,1.1596447229385376,1681097600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-01,1.375892996788025,1.3887499570846558,1.3674999475479126,1.3844640254974365,1.1691454648971558,678395200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-02,1.3919639587402344,1.4269640445709229,1.3873209953308105,1.4219640493392944,1.2008136510849,1020062400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-03,1.412500023841858,1.4183930158615112,1.3808929920196533,1.389464020729065,1.173368215560913,731651200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-04,1.3905359506607056,1.4094640016555786,1.3844640254974365,1.4078569412231445,1.1889002323150635,563556000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-07,1.4094640016555786,1.416964054107666,1.3839290142059326,1.4096430540084839,1.1904085874557495,524456800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-02-08,1.4119640588760376,1.4532140493392944,1.4069639444351196,1.4446430206298828,1.2199654579162598,890019200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
